Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
NVDA,NVIDIA CORP,Information Technology,Equity,"6,556,580,168.70",5.69,"6,556,580,168.70","36,780,995.00",178.26,United States,NASDAQ,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,"5,618,316,200.25",4.88,"5,618,316,200.25","10,645,791.00",527.75,United States,NASDAQ,USD
AAPL,APPLE INC,Information Technology,Equity,"4,595,041,217.40",3.99,"4,595,041,217.40","22,644,595.00",202.92,United States,NASDAQ,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"3,077,495,550.00",2.67,"3,077,495,550.00","14,397,640.00",213.75,United States,NASDAQ,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,"2,520,840,325.98",2.19,"2,520,840,325.98","3,301,863.00",763.46,United States,NASDAQ,USD
AVGO,BROADCOM INC,Information Technology,Equity,"1,972,451,478.25",1.71,"1,972,451,478.25","6,733,525.00",292.93,United States,NASDAQ,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"1,712,007,016.02",1.49,"1,712,007,016.02","8,794,406.00",194.67,United States,NASDAQ,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,"1,458,291,543.12",1.27,"1,458,291,543.12","7,466,166.00",195.32,United States,NASDAQ,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,"1,347,209,006.88",1.17,"1,347,209,006.88","4,363,854.00",308.72,United States,NASDAQ,USD
JPM,JPMORGAN CHASE & CO,Financials,Equity,"1,231,540,280.51",1.07,"1,231,540,280.51","4,226,723.00",291.37,United States,New York Stock Exchange Inc.,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"937,591,386.36",0.81,"937,591,386.36","2,019,844.00",464.19,United States,New York Stock Exchange Inc.,USD
LLY,ELI LILLY,Health Care,Equity,"926,882,988.55",0.80,"926,882,988.55","1,210,109.00",765.95,United States,New York Stock Exchange Inc.,USD
V,VISA INC CLASS A,Financials,Equity,"876,747,068.44",0.76,"876,747,068.44","2,598,308.00",337.43,United States,New York Stock Exchange Inc.,USD
NFLX,NETFLIX INC,Communication,Equity,"740,167,237.66",0.64,"740,167,237.66","644,818.00","1,147.87",United States,NASDAQ,USD
XOM,EXXON MOBIL CORP,Energy,Equity,"699,242,119.52",0.61,"699,242,119.52","6,520,348.00",107.24,United States,New York Stock Exchange Inc.,USD
MA,MASTERCARD INC CLASS A,Financials,Equity,"697,332,411.96",0.61,"697,332,411.96","1,231,949.00",566.04,United States,New York Stock Exchange Inc.,USD
WMT,WALMART INC,Consumer Staples,Equity,"661,199,326.23",0.57,"661,199,326.23","6,657,933.00",99.31,United States,New York Stock Exchange Inc.,USD
ORCL,ORACLE CORP,Information Technology,Equity,"649,825,700.86",0.56,"649,825,700.86","2,541,658.00",255.67,United States,New York Stock Exchange Inc.,USD
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"631,055,393.39",0.55,"631,055,393.39","668,753.00",943.63,United States,NASDAQ,USD
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"616,724,148.84",0.54,"616,724,148.84","3,612,066.00",170.74,United States,New York Stock Exchange Inc.,USD
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"577,589,300.76",0.50,"577,589,300.76","1,498,636.00",385.41,United States,New York Stock Exchange Inc.,USD
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"559,537,172.33",0.49,"559,537,172.33","3,229,279.00",173.27,United States,NASDAQ,USD
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"532,970,961.00",0.46,"532,970,961.00","3,541,100.00",150.51,United States,New York Stock Exchange Inc.,USD
ABBV,ABBVIE INC,Health Care,Equity,"526,548,047.85",0.46,"526,548,047.85","2,651,967.00",198.55,United States,New York Stock Exchange Inc.,USD
BAC,BANK OF AMERICA CORP,Financials,Equity,"496,199,017.16",0.43,"496,199,017.16","10,891,111.00",45.56,United States,New York Stock Exchange Inc.,USD
SAP,SAP,Information Technology,Equity,"449,067,681.55",0.39,"449,067,681.55","1,574,155.00",285.28,Germany,Xetra,EUR
CVX,CHEVRON CORP,Energy,Equity,"448,637,066.08",0.39,"448,637,066.08","2,931,502.00",153.04,United States,New York Stock Exchange Inc.,USD
GE,GE AEROSPACE,Industrials,Equity,"443,017,618.76",0.38,"443,017,618.76","1,628,023.00",272.12,United States,New York Stock Exchange Inc.,USD
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"426,213,224.95",0.37,"426,213,224.95","2,445,145.00",174.31,United States,NASDAQ,USD
KO,COCA-COLA,Consumer Staples,Equity,"425,157,560.10",0.37,"425,157,560.10","6,157,242.00",69.05,United States,New York Stock Exchange Inc.,USD
ASML,ASML HOLDING NV,Information Technology,Equity,"410,239,908.41",0.36,"410,239,908.41","594,029.00",690.61,Netherlands,Euronext Amsterdam,EUR
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"402,608,796.16",0.35,"402,608,796.16","5,962,808.00",67.52,United States,NASDAQ,USD
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"386,421,178.38",0.34,"386,421,178.38","2,354,217.00",164.14,United States,New York Stock Exchange Inc.,USD
WFC,WELLS FARGO,Financials,Equity,"383,109,238.92",0.33,"383,109,238.92","4,914,177.00",77.96,United States,New York Stock Exchange Inc.,USD
CRM,SALESFORCE INC,Information Technology,Equity,"356,161,126.57",0.31,"356,161,126.57","1,439,093.00",247.49,United States,New York Stock Exchange Inc.,USD
NESN,NESTLE SA,Consumer Staples,Equity,"353,614,177.64",0.31,"353,614,177.64","3,965,755.00",89.17,Switzerland,SIX Swiss Exchange,CHF
AZN,ASTRAZENECA PLC,Health Care,Equity,"349,174,998.58",0.30,"349,174,998.58","2,341,756.00",149.11,United Kingdom,London Stock Exchange,GBP
