Ticker,Short Name,Price,Pe Ratio,Peg Ratio,Eps Ttm,Total Revenue,Growth,3-4 Year Sales Growth,Cagr,Ebit,Enterprise Value,Invested Capital,Roic,Dividendyield,Dividend Yield%,Earnings Growth,Roe,Roa,Debt To Equity,Pb Ratio,Free Cash Flow,Market Cap,Rev Growth,Sector
TSLA,"Tesla, Inc.",329.65,196.22,6.07,1.68,92719996928.0,32.3,81.5,18.0,8053000000.0,1016575426560.0,84270000000.0,0.1,,0.0,-0.16,0.08,0.03,0.17,13.75,1339624960.0,1063269564416.0,-0.12,Consumer Cyclical
AAPL,Apple Inc.,229.35,34.75,2.0,6.6,408624988160.0,17.39,6.89,1.87,130214000000.0,3311657025536.0,167528000000.0,0.78,0.47,0.0,0.09,1.5,0.25,1.54,51.76,94873747456.0,3403645714432.0,0.1,Technology
AMZN,"Amazon.com, Inc.",222.69,33.95,2.64,6.56,670038032384.0,12.86,35.79,8.86,85152000000.0,2446051770368.0,384493000000.0,0.22,,0.0,0.35,0.25,0.08,0.48,7.11,31024001024.0,2374966444032.0,0.13,Consumer Cyclical
GOOGL,Alphabet Inc.,201.42,21.5,1.46,9.37,371399000064.0,14.72,35.86,8.88,140073000000.0,2382723284992.0,386523000000.0,0.36,0.43,0.01,0.19,0.35,0.17,0.11,6.72,49786499072.0,2440203337728.0,0.14,Communication Services
NVDA,NVIDIA Corporation,182.7,59.13,1.75,3.09,148514996224.0,33.74,384.87,55.0,88903000000.0,4367381954560.0,92307000000.0,0.96,0.02,0.0,0.26,1.15,0.53,0.12,53.14,55443001344.0,4455614382080.0,0.69,Technology
META,"Meta Platforms, Inc.",769.3,27.89,2.4,27.58,178803998720.0,11.63,39.49,9.68,81230000000.0,1935079374848.0,223902000000.0,0.36,0.28,0.0,0.36,0.41,0.18,0.25,9.92,31991250944.0,1932589268992.0,0.22,Communication Services
MSFT,Microsoft Corporation,522.04,38.24,2.34,13.65,281723994112.0,16.31,42.09,10.24,126012000000.0,3889109401600.0,386630000000.0,0.33,0.64,0.01,0.24,0.33,0.14,0.33,11.3,61070376960.0,3880411987968.0,0.18,Technology
NFLX,"Netflix, Inc.",1211.64,51.58,2.18,23.49,41693184000.0,23.67,31.33,7.86,12448570000.0,523401199616.0,39405105000.0,0.32,,0.0,0.46,0.44,0.15,0.68,20.63,22694656000.0,514857369600.0,0.16,Communication Services
GOOG,Alphabet Inc.,202.09,21.57,1.47,9.37,371399000064.0,14.71,35.86,8.88,140073000000.0,2391382687744.0,386523000000.0,0.36,0.43,0.01,0.19,0.35,0.17,0.11,6.74,49786499072.0,2438882656256.0,0.14,Communication Services
AVGO,Broadcom Inc.,304.97,111.71,1.42,2.73,57045999616.0,78.41,87.88,19.13,20766000000.0,154224361472.0,136857000000.0,0.15,0.78,0.01,1.73,0.19,0.08,1.66,5.15,26148749312.0,1434417233920.0,0.16,Technology
BRKB,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
LLY,Eli Lilly and Company,625.65,40.84,0.98,15.32,53258100736.0,41.65,59.06,13.75,17769700000.0,610787393536.0,58176700000.0,0.31,0.94,0.01,0.91,,,2.44,37.61,,561668554752.0,0.38,Healthcare
JPM,JP Morgan Chase & Co.,288.76,14.8,3.83,19.51,163748003840.0,3.87,39.24,9.63,,442015907840.0,821974000000.0,,1.95,0.02,-0.17,0.16,0.01,0.0,2.36,,794017857536.0,-0.11,Financial Services
V,Visa Inc.,336.78,32.92,1.89,10.23,38892998656.0,17.37,49.04,11.71,24898000000.0,655729885184.0,62931000000.0,0.4,0.71,0.01,0.08,0.52,0.17,0.65,17.2,18054000640.0,653669761024.0,0.14,Financial Services
XOM,Exxon Mobil Corporation,106.8,15.17,5.48,7.04,329816014848.0,2.77,22.61,5.82,45998000000.0,483697033216.0,301582000000.0,0.15,3.74,0.04,-0.23,0.12,0.05,0.14,1.73,20748249088.0,455315095552.0,-0.12,Energy
COST,Costco Wholesale Corporation,980.98,55.77,5.19,17.59,268775997440.0,10.74,29.87,7.53,10578000000.0,428550160384.0,32842000000.0,0.32,0.53,0.0,0.13,0.32,0.09,0.31,16.04,5910374912.0,435042058240.0,0.08,Consumer Defensive
MA,Mastercard Incorporated,574.32,38.75,2.23,14.82,30240999424.0,17.4,49.16,11.74,17180000000.0,516973527040.0,26823000000.0,0.64,0.54,0.01,0.14,1.77,0.24,2.41,66.26,15459624960.0,519192182784.0,0.17,Financial Services
WMT,Walmart Inc.,103.73,44.33,3.94,2.34,685086015488.0,11.26,18.9,4.92,27919000000.0,889177702400.0,129993000000.0,0.21,0.91,0.01,-0.12,0.22,0.07,0.76,9.89,9960500224.0,827809005568.0,0.02,Consumer Defensive
JNJ,Johnson & Johnson,173.33,18.54,1.04,9.35,90626998272.0,17.77,12.8,3.4,28189000000.0,444983377920.0,129234000000.0,0.22,3.03,0.03,0.18,0.3,0.08,0.65,5.32,11079499776.0,417437581312.0,0.06,Healthcare
ORCL,Oracle Corporation,250.05,57.62,2.6,4.34,57399001088.0,22.18,35.25,8.74,17737000000.0,798761877504.0,113019000000.0,0.16,0.8,0.01,0.09,0.82,0.07,5.2,34.32,678000000.0,702347935744.0,0.11,Technology
HD,"Home Depot, Inc. (The)",387.85,26.37,4.52,14.71,162952003584.0,5.83,5.53,1.51,21748000000.0,444794339328.0,60221000000.0,0.36,2.38,0.02,-0.05,3.0,0.15,7.79,48.51,10957625344.0,385882816512.0,0.09,Consumer Cyclical
