Ticker,Name,Sector,P/E,P/B,PEG,D/E,ROIC,Dividend Yield %,1M %,1Y %,Peter Lynch,Personal Model
TSLA,"Tesla, Inc.",Consumer Cyclical,196.22,13.75,6.07,0.17,0.1,0.0,11.41,64.82,0.33,37.5
AAPL,Apple Inc.,Technology,34.75,51.76,2.0,1.54,0.78,0.0,8.62,6.56,1.0,75.0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,33.95,7.11,2.64,0.48,0.22,0.0,0.07,33.4,0.76,87.5
GOOGL,Alphabet Inc.,Communication Services,21.5,6.72,1.46,0.11,0.36,0.01,14.04,23.66,1.37,100.0
NVDA,NVIDIA Corporation,Technology,59.13,53.14,1.75,0.12,0.96,0.0,12.17,74.47,1.14,87.5
META,"Meta Platforms, Inc.",Communication Services,27.89,9.92,2.4,0.25,0.36,0.0,4.98,49.09,0.83,100.0
MSFT,Microsoft Corporation,Technology,38.24,11.3,2.34,0.33,0.33,0.01,3.68,29.56,0.85,100.0
NFLX,"Netflix, Inc.",Communication Services,51.58,20.63,2.18,0.68,0.32,0.0,-5.95,91.13,0.92,75.0
GOOG,Alphabet Inc.,Communication Services,21.57,6.74,1.47,0.11,0.36,0.01,13.75,22.78,1.36,100.0
AVGO,Broadcom Inc.,Technology,111.71,5.15,1.42,1.66,0.15,0.01,9.74,108.04,1.4,75.0
BRKB,,,,,,0.0,,,,,0.0,12.5
LLY,Eli Lilly and Company,Healthcare,40.84,37.61,0.98,2.44,0.31,0.01,-20.49,-29.35,2.04,50.0
JPM,JP Morgan Chase & Co.,Financial Services,14.8,2.36,3.83,0.0,,0.02,1.98,43.46,0.52,50.0
V,Visa Inc.,Financial Services,32.92,17.2,1.89,0.65,0.4,0.01,-5.86,30.33,1.06,75.0
XOM,Exxon Mobil Corporation,Energy,15.17,1.73,5.48,0.14,0.15,0.04,-6.15,-7.01,0.37,62.5
COST,Costco Wholesale Corporation,Consumer Defensive,55.77,16.04,5.19,0.31,0.32,0.0,0.03,15.33,0.39,75.0
MA,Mastercard Incorporated,Financial Services,38.75,66.26,2.23,2.41,0.64,0.01,1.63,26.46,0.9,87.5
WMT,Walmart Inc.,Consumer Defensive,44.33,9.89,3.94,0.76,0.21,0.01,7.15,54.22,0.51,50.0
JNJ,Johnson & Johnson,Healthcare,18.54,5.32,1.04,0.65,0.22,0.03,10.91,11.43,1.92,87.5
ORCL,Oracle Corporation,Technology,57.62,34.32,2.6,5.2,0.16,0.01,6.26,91.33,0.77,50.0
HD,"Home Depot, Inc. (The)",Consumer Cyclical,26.37,48.51,4.52,7.79,0.36,0.02,4.53,13.93,0.44,62.5
PG,Procter & Gamble Company (The),Consumer Defensive,23.58,7.02,3.72,0.7,0.25,0.03,-1.88,-7.71,0.54,75.0
ABBV,AbbVie Inc.,Healthcare,93.86,-1904.33,0.42,0.0,0.08,0.03,4.8,8.0,4.76,62.5
PLTR,Palantir Technologies Inc.,Technology,644.69,74.78,4.77,0.04,0.1,0.0,30.62,522.99,0.42,62.5
BAC,Bank of America Corporation,Financial Services,13.49,1.24,1.31,0.0,,0.02,-1.77,23.14,1.53,50.0
CVX,Chevron Corporation,Energy,19.95,1.81,4.46,0.2,0.13,0.04,1.3,11.77,0.45,50.0
SAP,SAP  SE,Technology,45.36,8.3,1.51,0.21,0.22,0.01,-6.35,41.35,1.33,87.5
GE,GE Aerospace,Industrials,39.18,15.24,6.39,1.03,0.25,0.0,9.86,65.61,0.31,75.0
